 ,Distance,Multiplier,
0,0.737637,0.637261,
1,0.7129366,0.6611476,
2,1.005491,0.5,
3,0.9998928,0.5,
4,0.9115666,0.5,
5,1.005491,0.5,
6,0.9998928,0.5,
7,0.7131158,0.6609772,
8,1.058344,0.5,
9,0.9363048,0.5,
10,1.127891,0.5,
11,0.9073386,0.5,
12,0.6922816,0.6804974,
13,1.127891,0.5,
14,0.8524694,0.5155306,
15,0.8702155,0.5,
16,1.119156,0.5,
17,0.8175662,0.5543904,
18,0.687029,0.6853274,
19,0.9544511,0.5,
20,0.8175662,0.5543904,
21,1.149116,0.5,
22,0.9804815,0.5,
23,1.149116,0.5,
